State,Industry,Households
Tasmania,219.42,34.58
New South Wales,647.44,528.38
Victoria,919.97,419.87
Queensland,042.82,346.51
Western Australia,415.95,251.46
South Australia,536.27,141.13
Northern Territory,212.61,26.57
Australian Capital Territory,102.96,30.39
Other Territories,467,259
